8/21/2020,AK,30,220,No Data,4604
8/20/2020,AK,29,218,No Data,4535
8/19/2020,AK,29,214,No Data,4452
8/18/2020,AK,29,208,No Data,4379
8/17/2020,AK,28,206,No Data,4313
8/16/2020,AK,28,203,No Data,4263
8/15/2020,AK,28,197,No Data,4162
8/14/2020,AK,27,193,No Data,4078
8/13/2020,AK,27,191,No Data,3978
8/12/2020,AK,27,186,No Data,3896
8/11/2020,AK,26,181,No Data,3835
8/10/2020,AK,26,180,No Data,3786
8/9/2020,AK,26,176,No Data,3718
8/8/2020,AK,26,172,No Data,3621
8/7/2020,AK,25,167,No Data,3542
8/6/2020,AK,25,164,No Data,3487
8/5/2020,AK,25,161,No Data,3447
8/4/2020,AK,25,158,No Data,3392
8/3/2020,AK,25,156,No Data,3331
8/2/2020,AK,24,154,No Data,3273
8/1/2020,AK,24,153,No Data,3137
7/31/2020,AK,23,151,No Data,2993
7/30/2020,AK,23,147,No Data,2887
7/29/2020,AK,22,145,No Data,2803
7/28/2020,AK,22,143,No Data,2735
7/27/2020,AK,21,138,No Data,2627
7/26/2020,AK,20,135,No Data,2533
7/25/2020,AK,20,132,No Data,2348
7/24/2020,AK,19,126,No Data,2260
7/23/2020,AK,19,124,No Data,2203
7/22/2020,AK,19,118,No Data,2139
7/21/2020,AK,18,113,No Data,2045
7/20/2020,AK,18,111,No Data,1955
7/19/2020,AK,18,110,No Data,1882
7/18/2020,AK,18,107,No Data,1799
7/17/2020,AK,17,105,No Data,1737
7/16/2020,AK,17,103,No Data,1695
7/15/2020,AK,17,102,No Data,1631
7/14/2020,AK,17,98,No Data,1580
7/13/2020,AK,17,96,No Data,1537
7/12/2020,AK,17,95,No Data,1478
7/11/2020,AK,17,93,No Data,1386
7/10/2020,AK,17,90,No Data,1323
7/9/2020,AK,17,87,No Data,1273
7/8/2020,AK,17,84,No Data,1226
7/7/2020,AK,17,80,No Data,1186
7/6/2020,AK,16,78,No Data,1168
7/5/2020,AK,16,75,No Data,1141
7/4/2020,AK,16,71,No Data,1114
7/3/2020,AK,15,69,No Data,1065
7/2/2020,AK,14,68,No Data,1020
7/1/2020,AK,14,68,No Data,982
6/30/2020,AK,14,68,No Data,944
6/29/2020,AK,14,68,No Data,908
6/28/2020,AK,14,68,No Data,887
6/27/2020,AK,14,67,No Data,858
6/26/2020,AK,14,67,No Data,839
6/25/2020,AK,12,67,No Data,821
6/24/2020,AK,12,67,No Data,797
6/23/2020,AK,12,66,No Data,783
6/22/2020,AK,12,65,No Data,767
6/21/2020,AK,12,65,No Data,761
6/20/2020,AK,12,65,No Data,750
6/19/2020,AK,12,63,No Data,729
6/18/2020,AK,12,61,No Data,713
6/17/2020,AK,12,61,No Data,701
6/16/2020,AK,12,61,No Data,681
6/15/2020,AK,12,60,No Data,668
6/14/2020,AK,12,57,No Data,665
6/13/2020,AK,12,56,No Data,656
6/12/2020,AK,12,55,No Data,630
6/11/2020,AK,11,54,No Data,616
6/10/2020,AK,11,53,No Data,598
6/9/2020,AK,11,53,No Data,578
6/8/2020,AK,10,53,No Data,567
6/7/2020,AK,10,53,No Data,549
6/6/2020,AK,10,53,No Data,541
6/5/2020,AK,10,53,No Data,529
6/4/2020,AK,10,52,No Data,518
6/3/2020,AK,10,52,No Data,508
6/2/2020,AK,10,51,No Data,490
6/1/2020,AK,10,50,No Data,470
5/31/2020,AK,10,50,No Data,463
5/30/2020,AK,10,50,No Data,435
5/29/2020,AK,10,50,No Data,432
5/28/2020,AK,10,49,No Data,427
5/27/2020,AK,10,49,No Data,414
5/26/2020,AK,10,49,No Data,413
5/25/2020,AK,10,49,No Data,411
5/24/2020,AK,10,49,No Data,410
5/23/2020,AK,10,49,No Data,410
5/22/2020,AK,10,49,No Data,406
5/21/2020,AK,10,47,No Data,404
5/20/2020,AK,10,46,No Data,404
5/19/2020,AK,10,46,No Data,401
5/18/2020,AK,10,46,No Data,401
5/17/2020,AK,10,46,No Data,398
5/16/2020,AK,10,45,No Data,394
5/15/2020,AK,10,43,No Data,390
5/14/2020,AK,10,42,No Data,389
5/13/2020,AK,10,41,No Data,384
5/12/2020,AK,10,41,No Data,383
5/11/2020,AK,10,41,No Data,381
5/10/2020,AK,10,41,No Data,379
5/9/2020,AK,10,41,No Data,378
5/8/2020,AK,10,41,No Data,377
5/7/2020,AK,10,41,No Data,374
5/6/2020,AK,10,41,No Data,372
5/5/2020,AK,9,40,No Data,371
5/4/2020,AK,9,39,No Data,370
5/3/2020,AK,9,39,No Data,368
5/2/2020,AK,9,39,No Data,365
5/1/2020,AK,9,39,No Data,364
4/30/2020,AK,9,38,No Data,355
4/29/2020,AK,9,38,No Data,355
4/28/2020,AK,9,38,No Data,351
4/27/2020,AK,9,37,No Data,345
4/26/2020,AK,9,37,No Data,341
4/25/2020,AK,9,37,No Data,339
4/24/2020,AK,9,37,No Data,339
4/23/2020,AK,9,37,No Data,337
